Nsub,Npheno,Method,Average time per simulation in second,"Time for 10,000 Simulations in Hour"
5000,4,CCT,0.28020774371773005,0.7783548436603612
5000,4,CCT_includeXsquare,0.2964110704749823,0.8233640846527285
5000,4,SMAT,0.7779373792313039,2.1609371645313997
5000,4,SMAT_includeXsquare,0.7877377228200436,2.188160341166788
5000,6,CCT,0.4296706460773945,1.1935295724372068
5000,6,CCT_includeXsquare,0.46921167418621473,1.3033657616283743
5000,6,SMAT,1.0396571355041118,2.8879364875114217
5000,6,SMAT_includeXsquare,1.103139411497116,3.0642761430475445
5000,8,CCT,0.6034378336664289,1.6762162046289693
5000,8,CCT_includeXsquare,0.6624114838656038,1.8400318996266771
5000,8,SMAT,1.546549065981433,4.295969627726203
5000,8,SMAT_includeXsquare,1.7536813145868482,4.871336984963467
5000,10,CCT,0.8104184698130935,2.251162416147482
5000,10,CCT_includeXsquare,0.9159872622746974,2.5444090618741595
5000,10,SMAT,2.4728146179322152,6.868929494256154
5000,10,SMAT_includeXsquare,2.9599045114852487,8.221956976347913
5000,12,CCT,1.0259161624468864,2.849767117908018
5000,12,CCT_includeXsquare,1.176312856021896,3.2675357111719334
5000,12,SMAT,4.082310605622456,11.3397516822846
5000,12,SMAT_includeXsquare,5.284351036752016,14.678752879866709
10000,4,CCT,0.5158248951192945,1.4328469308869292
10000,4,CCT_includeXsquare,0.5413949238669128,1.5038747885192023
10000,4,SMAT,1.480494149463251,4.112483748509031
10000,4,SMAT_includeXsquare,1.4959003843799235,4.1552788454997875
10000,6,CCT,0.7980189472790807,2.2167192979974466
10000,6,CCT_includeXsquare,0.8409509221572429,2.3359747837701192
10000,6,SMAT,1.9839729722000659,5.511036033889072
10000,6,SMAT_includeXsquare,2.1119939596187325,5.866649887829812
10000,8,CCT,1.1161502158515155,3.10041726625421
10000,8,CCT_includeXsquare,1.1929450359109788,3.31373621086383
10000,8,SMAT,2.975280331963673,8.264667588787981
10000,8,SMAT_includeXsquare,3.3199979115985334,9.222216421107037
10000,10,CCT,1.4688754266116768,4.080209518365769
10000,10,CCT_includeXsquare,1.5991270861621947,4.442019683783874
10000,10,SMAT,4.640777272536606,12.891047979268349
10000,10,SMAT_includeXsquare,5.614959313354642,15.597109203762894
10000,12,CCT,1.873782903882116,5.204952510783656
10000,12,CCT_includeXsquare,2.0456947130106387,5.68248531391844
10000,12,SMAT,7.744001678124071,21.51111577256686
10000,12,SMAT_includeXsquare,10.08849940345958,28.023609454054384
